index,x[mm],y[mm]
139,-25.200000,-7.274613
140,-2.100000,-25.461147
141,21.000000,-14.549227
142,23.100000,10.911920
143,2.100000,25.461147
144,-21.000000,14.549227
145,-23.100000,-10.911920
146,2.100000,-25.461147
147,23.100000,-10.911920
148,21.000000,14.549227
149,-2.100000,25.461147
150,-23.100000,10.911920
151,-21.000000,-14.549227
152,6.300000,-25.461147
153,25.200000,-7.274613
154,18.900000,18.186533
155,-6.300000,25.461147
156,-25.200000,7.274613
157,-18.900000,-18.186533
158,10.500000,-25.461147
159,27.300000,-3.637307
160,16.800000,21.823840
161,-10.500000,25.461147
162,-27.300000,3.637307
163,-16.800000,-21.823840
164,14.700000,-25.461147
165,29.400000,0.000000
166,14.700000,25.461147
167,-14.700000,25.461147
168,-29.400000,0.000000
169,-14.700000,-25.461147
170,16.800000,-29.098454
171,33.600000,0.000000
172,16.800000,29.098454
173,-16.800000,29.098454
174,-33.600000,0.000000
175,-16.800000,-29.098454
176,18.900000,-25.461147
177,31.500000,3.637307
178,12.600000,29.098454
179,-18.900000,25.461147
180,-31.500000,-3.637307
181,-12.600000,-29.098454
182,21.000000,-21.823840
183,29.400000,7.274613
184,8.400000,29.098454
185,-21.000000,21.823840
186,-29.400000,-7.274613
187,-8.400000,-29.098454
188,23.100000,-18.186533
189,27.300000,10.911920
190,4.200000,29.098454
191,-23.100000,18.186533
192,-27.300000,-10.911920
193,-4.200000,-29.098454
194,25.200000,-14.549227
195,25.200000,14.549227
196,0.000000,29.098454
197,-25.200000,14.549227
198,-25.200000,-14.549227
199,0.000000,-29.098454
200,27.300000,-10.911920
201,23.100000,18.186533
202,-4.200000,29.098454
203,-27.300000,10.911920
204,-23.100000,-18.186533
205,4.200000,-29.098454
206,29.400000,-7.274613
207,21.000000,21.823840
208,-8.400000,29.098454
209,-29.400000,7.274613
210,-21.000000,-21.823840
211,8.400000,-29.098454
212,31.500000,-3.637307
213,18.900000,25.461147
214,-12.600000,29.098454
215,-31.500000,3.637307
216,-18.900000,-25.461147
217,12.600000,-29.098454
218,37.800000,0.000000
219,18.900000,32.735760
220,-18.900000,32.735760
221,-37.800000,0.000000
222,-18.900000,-32.735760
223,18.900000,-32.735760
224,35.700000,3.637307
225,14.700000,32.735760
226,-21.000000,29.098454
227,-35.700000,-3.637307
228,-14.700000,-32.735760
229,21.000000,-29.098454
230,33.600000,7.274613
231,10.500000,32.735760
232,-23.100000,25.461147
233,-33.600000,-7.274613
234,-10.500000,-32.735760
235,23.100000,-25.461147
236,31.500000,10.911920
237,6.300000,32.735760
238,-25.200000,21.823840
239,-31.500000,-10.911920
240,-6.300000,-32.735760
241,25.200000,-21.823840
242,29.400000,14.549227
243,2.100000,32.735760
244,-27.300000,18.186533
245,-29.400000,-14.549227
246,-2.100000,-32.735760
247,27.300000,-18.186533
248,27.300000,18.186533
249,-2.100000,32.735760
250,-29.400000,14.549227
251,-27.300000,-18.186533
252,2.100000,-32.735760
253,29.400000,-14.549227
254,25.200000,21.823840
255,-6.300000,32.735760
256,-31.500000,10.911920
257,-25.200000,-21.823840
258,6.300000,-32.735760
